,Fecha,Longitud,Latitud,Polaridad,Magnitud [kA],Corriente
244996,2019-11-13 02:23:49.803,-73.693,6.8563,-1,6.1,-6.1
244997,2019-11-13 02:24:37.960,-73.9677,6.8353,1,7.0,7.0
244998,2019-11-13 02:24:37.963,-73.9801,6.8208,-1,103.6,-103.6
244999,2019-11-13 02:24:37.987,-73.9679,6.8365,-1,42.5,-42.5
245000,2019-11-13 02:24:38.030,-73.9429,6.827000000000001,-1,27.8,-27.8
245001,2019-11-13 02:24:38.103,-73.9591,6.8222,-1,22.9,-22.9
245002,2019-11-13 02:24:38.157,-73.9728,6.8216,-1,21.1,-21.1
245003,2019-11-13 02:24:38.193,-73.9763,6.8209,-1,31.7,-31.7
245004,2019-11-13 02:24:38.260,-73.982,6.8245,-1,37.1,-37.1
245005,2019-11-13 02:24:38.310,-73.9793,6.8224,-1,15.0,-15.0
245006,2019-11-13 02:24:38.310,-73.9178,6.8863,-1,8.4,-8.4
245007,2019-11-13 02:24:38.683,-73.9801,6.8177,-1,7.1,-7.1
245008,2019-11-13 02:24:38.683,-73.9269,6.8654,1,22.7,22.7
245009,2019-11-13 02:24:38.820,-74.2178,6.8505,-1,9.8,-9.8
245010,2019-11-13 02:24:39.157,-74.0206,6.7914,-1,65.9,-65.9
245011,2019-11-13 02:24:39.230,-74.0161,6.7982,-1,7.6,-7.6
245012,2019-11-13 02:24:39.240,-74.0049,6.8135,-1,10.3,-10.3
245013,2019-11-13 02:24:39.423,-74.0001,6.8166,-1,15.4,-15.4
245014,2019-11-13 02:24:39.547,-73.9975,6.8167,-1,6.7,-6.7
245015,2019-11-13 02:25:46.550,-73.9873,6.8969,-1,14.8,-14.8
245016,2019-11-13 02:25:46.557,-73.9696,6.9287,-1,103.7,-103.7
245017,2019-11-13 02:25:46.580,-73.9753,6.9286,-1,6.7,-6.7
245018,2019-11-13 02:25:46.920,-73.94800000000001,6.9264,-1,19.3,-19.3
245019,2019-11-13 02:25:47.157,-73.9437,6.9052,1,6.2,6.2
245020,2019-11-13 02:25:47.213,-73.9577,6.9246,-1,15.0,-15.0
245021,2019-11-13 02:25:47.310,-73.9486,6.928,-1,19.1,-19.1
245022,2019-11-13 02:25:47.580,-73.9503,6.9274,-1,17.3,-17.3
245023,2019-11-13 02:25:47.580,-73.9778,6.8439,1,10.6,10.6
245024,2019-11-13 02:25:47.587,-74.035,6.8128,1,9.1,9.1
245025,2019-11-13 02:25:47.690,-73.9536,6.9219,-1,7.4,-7.4
245026,2019-11-13 02:25:47.883,-74.039,6.7949,-1,31.7,-31.7
245027,2019-11-13 02:25:48.013,-74.0406,6.794,-1,37.4,-37.4
245028,2019-11-13 02:25:48.013,-74.163,6.8121,1,9.0,9.0
245029,2019-11-13 02:26:36.010,-73.9671,6.9043,1,6.5,6.5
245030,2019-11-13 02:26:51.437,-74.0857,6.7734,-1,104.1,-104.1
245031,2019-11-13 02:26:51.577,-74.1077,6.8384,-1,5.7,-5.7
245032,2019-11-13 02:26:51.587,-74.2756,6.8989,-1,6.2,-6.2
245033,2019-11-13 02:26:51.630,-74.1143,6.8699,1,5.4,5.4
245034,2019-11-13 02:27:57.837,-74.0584,6.7276,1,22.1,22.1
245035,2019-11-13 02:28:45.537,-73.9432,6.9085,1,12.4,12.4
245036,2019-11-13 02:29:22.890,-73.9272,7.1160000000000005,1,8.1,8.1
245037,2019-11-13 02:29:22.917,-73.9378,7.1669,-1,9.6,-9.6
245038,2019-11-13 02:29:26.373,-74.1574,7.1661,-1,16.1,-16.1
245039,2019-11-13 02:29:26.380,-74.1681,7.1604,1,6.5,6.5
245040,2019-11-13 02:29:31.103,-74.1403,6.7488,1,7.6,7.6
245041,2019-11-13 02:29:31.107,-74.1435,6.7485,1,7.8,7.8
245042,2019-11-13 02:29:31.107,-74.1109,6.7303,-1,7.2,-7.2
245043,2019-11-13 02:29:31.703,-74.0562,6.8171,-1,6.8,-6.8
245044,2019-11-13 02:30:10.967,-73.9245,6.8598,-1,39.4,-39.4
245045,2019-11-13 02:30:11.013,-73.9041,6.829,-1,22.4,-22.4
245046,2019-11-13 02:30:43.267,-74.0341,6.7386,1,6.4,6.4
245047,2019-11-13 02:30:43.270,-74.0087,6.729,-1,5.2,-5.2
245048,2019-11-13 02:30:43.273,-74.0226,6.7419,1,7.3,7.3
245049,2019-11-13 02:30:51.030,-73.9667,6.9284,1,9.8,9.8
245050,2019-11-13 02:31:06.573,-74.1552,7.1594,1,11.3,11.3
245051,2019-11-13 02:31:06.573,-74.1553,7.156000000000001,1,5.6,5.6
245052,2019-11-13 02:31:17.903,-74.0521,6.8951,1,8.8,8.8
245053,2019-11-13 02:31:17.907,-74.0634,6.8673,1,7.0,7.0
245054,2019-11-13 02:32:29.750,-74.0381,7.1536,-1,14.2,-14.2
245055,2019-11-13 02:32:29.853,-74.0381,7.1537,-1,21.2,-21.2
245056,2019-11-13 02:32:29.917,-74.0389,7.1533,-1,29.3,-29.3
245057,2019-11-13 02:32:29.957,-74.0382,7.1538,-1,9.8,-9.8
